Name,Source Title,DOI,Authors,Year,URL,Type,Source,Note
Real-Time Automatic Air Pollution Services from IOT Data Network,2020 IEEE Symposium on Computers and Communications (ISCC),10.1109/ISCC50000.2020.9219580,C. Badii; S. Bilotta; D. Cenni; A. Difino; P. Nesi; I. Paoli; M. Paolucci,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9219580,Conference Paper,IEEE Xplore,EC5
Tracking events in mobile device management system,"2015 6th International Conference on Information, Intelligence, Systems and Applications (IISA)",10.1109/IISA.2015.7388127,B. Ngoc Duong; A. G. Kravets; T. A. Nguyen; T. N. Le Thanh,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7388127,Conference Paper,IEEE Xplore,EC3
Software process maturity: measuring its impact on productivity and quality,Proceedings of 1993 15th International Conference on Software Engineering,10.1109/ICSE.1993.346019,H. A. Rubin,1993,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=346019,Conference Paper,IEEE Xplore,EC5
Awakening Awareness on Energy Consumption in Software Engineering,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Society Track (ICSE-SEIS),10.1109/ICSE-SEIS.2017.10,E. Jagroep; J. Broekman; J. M. E. M. van der Werf; P. Lago; S. Brinkkemper; L. Blom; R. van Vliet,2017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961670,Conference Paper,IEEE Xplore,EC3
Faceted Search in Business Intelligence on the Cloud,"2013 IEEE International Conference on Green Computing and Communications and IEEE Internet of Things and IEEE Cyber, Physical and Social Computing",10.1109/GreenCom-iThings-CPSCom.2013.148,H. Al-Aqrabi; L. Liu; R. Hill; L. Cui; J. Li,2013,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6682162,Conference Paper,IEEE Xplore,EC3
Intuitive Ontology-Based SPARQL Queries for RDF Data Exploration,IEEE Access,10.1109/ACCESS.2019.2948115,A. Rodríguez Díaz; A. Benito-Santos; A. Dorn; Y. Abgaz; E. Wandl-Vogt; R. Therón,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8873596,Journal Article,IEEE Xplore,EC3
CityResolver: A Decision Support System for Conflict Resolution in Smart Cities,2018 ACM/IEEE 9th International Conference on Cyber-Physical Systems (ICCPS),10.1109/ICCPS.2018.00014,M. Ma; J. A. Stankovic; L. Feng,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8443721,Conference Paper,IEEE Xplore,EC3
Service-Oriented Architecture for Intelligent Management with Data Analytics and Visualization,2019 IEEE 12th Conference on Service-Oriented Computing and Applications (SOCA),10.1109/SOCA.2019.00018,H. Lin; Y. Chiu; W. Liao; R. Chang,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953013,Conference Paper,IEEE Xplore,EC3
Integrated Architecture of Data Warehouse with Business Intelligence Technologies,2018 24th International Conference on Automation and Computing (ICAC),10.23919/IConAC.2018.8749017,C. A. Ul Hassan; R. Irfan; M. A. Shah,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8749017,Conference Paper,IEEE Xplore,EC3
Managing Ubiquitous Connectivity: Mobile Media Flow Service Systems,2015 IEEE World Congress on Services,10.1109/SERVICES.2015.25,D. Kolb; K. Ivaturi; S. Henderson; A. Srinivasan,2015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7196512,Conference Paper,IEEE Xplore,EC3
